"","genus","nspecies"
"1","Zootoca",1
"2","Uromastyx",15
"3","Acanthodactylus",42
"4","Meroles",8
"5","Eremias",35
"6","Underwoodisaurus",2
"7","Eremiascincus",14
"8","Eremiascincus",14
"9","Heteronotia",5
"10","Oedura",10
"11","Gehyra",41
"12","Egernia",17
"13","Pogona",8
"14","Tiliqua",7
"15","Menetia",6
"16","Rhynchoedura",6
"17","Egernia",17
"18","Diplodactylus",20
"19","Gehyra",41
"20","Lialis",2
"21","Varanus",77
"22","Ctenotus",101
"23","Ctenotus",101
"24","Pogona",8
"25","Ctenophorus",28
"26","Varanus",77
"27","Moloch",1
"28","Ctenophorus",28
"29","Ctenophorus",28
"30","Ctenophorus",28
"31","Ctenophorus",28
"32","Lucasium",11
"33","Varanus",77
"34","Diplodactylus",20
"35","Ctenophorus",28
"36","Lerista",94
"37","Tympanocryptis",8
"38","Ctenophorus",28
"39","Lucasium",11
"40","Nephrurus",9
"41","Diporiphora",22
"42","Nephrurus",9
"43","Varanus",77
"44","Liopholis",11
"45","Liopholis",11
"46","Strophurus",18
"47","Strophurus",18
"48","Strophurus",18
"49","Pygopus",5
"50","Diplodactylus",20
"51","Nephrurus",9
"52","Diplodactylus",20
"53","Delma",21
"54","Liopholis",11
"55","Ctenotus",101
"56","Lerista",94
"57","Delma",21
"58","Ctenotus",101
"59","Ctenophorus",28
"60","Ctenotus",101
"61","Ctenotus",101
"62","Morethia",8
"63","Ctenotus",101
"64","Ctenotus",101
"65","Tympanocryptis",8
"66","Ctenotus",101
"67","Ctenotus",101
"68","Ctenotus",101
"69","Ctenotus",101
"70","Varanus",77
"71","Ctenophorus",28
"72","Diporiphora",22
"73","Diplodactylus",20
"74","Ctenophorus",28
"75","Varanus",77
"76","Ctenotus",101
"77","Ctenotus",101
"78","Tropidurus",26
"79","Tropidurus",26
"80","Eurolophosaurus",3
"81","Brasiliscincus",3
"82","Gymnodactylus",5
"83","Phyllopezus",4
"84","Lygodactylus",62
"85","Tropidurus",26
"86","Sphaerodactylus",103
"87","Anolis",395
"88","Microlophus",20
"89","Microlophus",20
"90","Phrynocephalus",28
"91","Teratoscincus",6
"92","Alsophylax",6
"93","Teratoscincus",6
"94","Anolis",395
"95","Amblyrhynchus",1
"96","Microlophus",20
"97","Conolophus",3
"98","Conolophus",3
"99","Ptyodactylus",9
"100","Ptyodactylus",9
"101","Acanthodactylus",42
"102","Acanthodactylus",42
"103","Uromastyx",15
"104","Mesalina",14
"105","Pseudotrapelus",4
"106","Mesalina",14
"107","Chalcides",31
"108","Acanthodactylus",42
"109","Stenodactylus",13
"110","Trapelus",13
"111","Chalcides",31
"112","Stenodactylus",13
"113","Trapelus",13
"114","Trachylepis",77
"115","Hemidactylus",132
"116","Diplometopon",1
"117","Stenodactylus",13
"118","Trapelus",13
"119","Eumeces",5
"120","Phrynocephalus",28
"121","Bunopus",4
"122","Laudakia",10
"123","Saara",3
"124","Trapelus",13
"125","Trapelus",13
"126","Acanthodactylus",42
"127","Phrynocephalus",28
"128","Oplurus",6
"129","Oplurus",6
"130","Tarentola",31
"131","Elgaria",7
"132","Xantusia",14
"133","Uta",7
"134","Phrynosoma",18
"135","Sceloporus",97
"136","Sauromalus",5
"137","Callisaurus",1
"138","Uma",6
"139","Uma",6
"140","Aspidoscelis",40
"141","Aspidoscelis",40
"142","Aspidoscelis",40
"143","Aspidoscelis",40
"144","Phrynosoma",18
"145","Sceloporus",97
"146","Ctenosaura",18
"147","Bipes",3
"148","Aspidoscelis",40
"149","Urosaurus",9
"150","Sauromalus",5
"151","Sceloporus",97
"152","Sceloporus",97
"153","Crotaphytus",9
"154","Aspidoscelis",40
"155","Chondrodactylus",4
"156","Rhoptropus",7
"157","Agama",45
"158","Agama",45
"159","Chamaeleo",14
"160","Meroles",8
"161","Pachydactylus",54
"162","Trachylepis",77
"163","Meroles",8
"164","Ptenopus",3
"165","Typhlacontias",7
"166","Trachylepis",77
"167","Trachylepis",77
"168","Pedioplanis",13
"169","Anolis",395
"170","Pristurus",25
"171","Acanthodactylus",42
"172","Pristurus",25
"173","Uromastyx",15
"174","Mesalina",14
"175","Microlophus",20
"176","Trapelus",13
"177","Scincus",4
"178","Uromastyx",15
"179","Acanthodactylus",42
"180","Pseudoceramodactylus",1
"181","Tropiocolotes",10
"182","Trapelus",13
"183","Ouroborus",1
"184","Chondrodactylus",4
"185","Pedioplanis",13
"186","Agama",45
"187","Colopus",2
"188","Pachydactylus",54
"189","Pachydactylus",54
"190","Cordylus",21
"191","Trachylepis",77
"192","Nucras",10
"193","Phrynocephalus",28
"194","Phrynocephalus",28
"195","Varanus",77
"196","Phrynocephalus",28
"197","Stenodactylus",13
"198","Coleonyx",8
"199","Heloderma",2
"200","Xantusia",14
"201","Crotaphytus",9
"202","Coleonyx",8
"203","Sceloporus",97
"204","Sceloporus",97
"205","Sceloporus",97
"206","Phrynosoma",18
"207","Aspidoscelis",40
"208","Sceloporus",97
"209","Sceloporus",97
"210","Sceloporus",97
"211","Phrynosoma",18
"212","Gambelia",3
"213","Urosaurus",9
"214","Phrynosoma",18
"215","Uma",6
"216","Aspidoscelis",40
"217","Cophosaurus",1
"218","Dipsosaurus",1
"219","Sceloporus",97
"220","Urosaurus",9
"221","Aspidoscelis",40
"222","Holbrookia",5
"223","Aspidoscelis",40
"224","Sceloporus",97
"225","Sceloporus",97
"226","Uma",6
"227","Uma",6
"228","Aspidoscelis",40
"229","Phrynosoma",18
"230","Phrynosoma",18
"231","Petrosaurus",4
"232","Plestiodon",47
"233","Phrynosoma",18
"234","Plestiodon",47
"235","Elgaria",7
"236","Xantusia",14
"237","Sceloporus",97
"238","Uma",6
"239","Anolis",395
"240","Anolis",395
"241","Cnemidophorus",17
"242","Acanthocercus",8
"243","Phrynocephalus",28
"244","Mesalina",14
"245","Cyclura",9
"246","Aspidoscelis",40
"247","Anolis",395
"248","Gonatodes",31
"249","Podarcis",23
"250","Algyroides",4
"251","Trogonophis",1
"252","Hemiergis",7
"253","Christinus",3
"254","Bassiana",3
"255","Tiliqua",7
"256","Strophurus",18
"257","Varanus",77
"258","Pogona",8
"259","Ctenophorus",28
"260","Ctenophorus",28
"261","Liopholis",11
"262","Hesperoedura",1
"263","Delma",21
"264","Cyclodomorphus",8
"265","Ctenophorus",28
"266","Garthia",2
"267","Liolaemus",245
"268","Liolaemus",245
"269","Liolaemus",245
"270","Liolaemus",245
"271","Liolaemus",245
"272","Liolaemus",245
"273","Callopistes",2
"274","Microlophus",20
"275","Acanthodactylus",42
"276","Phoenicolacerta",4
"277","Trachylepis",77
"278","Podarcis",23
"279","Anguis",6
"280","Lacerta",9
"281","Stellagama",1
"282","Hellenolacerta",1
"283","Podarcis",23
"284","Podarcis",23
"285","Podarcis",23
"286","Podarcis",23
"287","Mediodactylus",13
"288","Algyroides",4
"289","Ophiomorus",11
"290","Anguis",6
"291","Podarcis",23
"292","Ptyodactylus",9
"293","Chalcides",31
"294","Ophiomorus",11
"295","Euleptes",1
"296","Archaeolacerta",1
"297","Phoenicolacerta",4
"298","Podarcis",23
"299","Tarentola",31
"300","Psammodromus",5
"301","Phrynosoma",18
"302","Atlantolacerta",1
"303","Chamaeleo",14
"304","Podarcis",23
"305","Lacerta",9
"306","Phoenicolacerta",4
"307","Timon",4
"308","Blanus",7
"309","Podarcis",23
"310","Pseudopus",1
"311","Bradypodion",17
"312","Cordylus",21
"313","Cordylus",21
"314","Acontias",21
"315","Scelotes",24
"316","Podarcis",23
"317","Chalcides",31
"318","Podarcis",23
"319","Podarcis",23
"320","Psammodromus",5
"321","Acanthodactylus",42
"322","Iberolacerta",8
"323","Podarcis",23
"324","Iberolacerta",8
"325","Podarcis",23
"326","Gallotia",8
"327","Tarentola",31
"328","Gallotia",8
"329","Gallotia",8
"330","Gallotia",8
"331","Gallotia",8
"332","Gallotia",8
"333","Tarentola",31
"334","Hemidactylus",132
"335","Anatololacerta",4
"336","Anniella",6
"337","Xantusia",14
"338","Xantusia",14
"339","Plestiodon",47
"340","Liolaemus",245
"341","Liolaemus",245
"342","Liolaemus",245
"343","Phymaturus",42
"344","Liolaemus",245
"345","Liolaemus",245
"346","Liolaemus",245
"347","Liolaemus",245
"348","Liolaemus",245
"349","Liolaemus",245
"350","Liolaemus",245
"351","Liolaemus",245
"352","Liolaemus",245
"353","Liolaemus",245
"354","Liolaemus",245
