Genus,# of species
Chelonia,341
Acanthochelys,4
Actinemys,1
Aldabrachelys,3
Amyda,1
Apalone,3
Astrochelys,2
Batagur,6
Caretta,1
Carettochelys,1
Centrochelys,1
Chelodina,15
Chelonia,1
Chelonoidis,13
Chelus,1
Chelydra,3
Chersina,1
Chitra,3
Chrysemys,2
Claudius,1
Clemmys,1
Cuora,12
Cyclanorbis,2
Cyclemys,7
Cycloderma,2
Deirochelys,1
Dermatemys,1
Dermochelys,1
Dogania,1
Elseya,7
Elusor,1
Emydoidea,1
Emydura,4
Emys,2
Eretmochelys,1
Erymnochelys,1
Flaviemys,1
Geochelone,2
Geoclemys,1
Geoemyda,2
Glyptemys,2
Gopherus,5
Graptemys,13
Hardella,1
Heosemys,4
Homopus,5
Hydromedusa,2
Indotestudo,3
Kinixys,8
Kinosternon,18
Lepidochelys,2
Leucocephalon,1
Lissemys,3
Macrochelys,3
Malaclemys,1
Malacochersus,1
Malayemys,2
Manouria,2
Mauremys,9
Melanochelys,2
Mesoclemmys,10
Morenia,2
Myuchelys,3
Natator,1
Nilssonia,5
Notochelys,1
Orlitia,1
Palea,1
Pangshura,4
Pelochelys,3
Pelodiscus,4
Pelomedusa,10
Peltocephalus,1
Pelusios,17
Phrynops,4
Platemys,1
Platysternon,1
Podocnemis,6
Psammobates,3
Pseudemydura,1
Pseudemys,7
Pyxis,2
Rafetus,2
Rheodytes,1
Rhinemys,1
Rhinoclemmys,9
Sacalia,2
Siebenrockiella,2
Staurotypus,2
Sternotherus,4
Stigmochelys,1
Terrapene,5
Testudo,5
Trachemys,16
Trionyx,1
Vijayachelys,1
Crocodilia,25
Alligator,2
Caiman,3
Crocodylus,13
Gavialis,1
Mecistops,1
Melanosuchus,1
Osteolaemus,1
Paleosuchus,2
Tomistoma,1
Rhynchocephalia,1
Sphenodon,1
Squamata,9671
Ablepharus,10
Abronia,28
Acanthocercus,8
Acanthodactylus,42
Acanthophis,7
Acanthosaura,10
Achalinus,9
Acontias,21
Acrantophis,2
Acratosaura,2
Acrochordus,3
Acutotyphlops,5
Adelophis,2
Adelphicos,6
Adercosaurus,1
Adolfus,4
Aeluroglena,1
Aeluroscalabotes,1
Afroablepharus,7
Afroedura,15
Afrogecko,2
Afronatrix,1
Afrotyphlops,26
Agama,45
Agamodon,3
Agamura,1
Agkistrodon,6
Ahaetulla,8
Ailuronyx,3
Aipysurus,8
Alexandresaurus,1
Algyroides,4
Alinea,4
Alluaudina,2
Alopoglossus,7
Alsophis,9
Alsophylax,6
Altiphylax,6
Amalosia,4
Amapasaurus,1
Amastridium,2
Amblyodipsas,9
Amblyrhynchus,1
Ameiva,30
Ameivula,14
Amerotyphlops,14
Amnesteophis,1
Amphibolurus,2
Amphiesma,43
Amphiesmoides,1
Amphiglossus,25
Amphisbaena,105
Amplorhinus,1
Anadia,19
Anatololacerta,3
Ancylocranium,3
Androngo,1
Anelytropsis,1
Anepischetosia,1
Anguis,6
Anilios,45
Anilius,1
Anisolepis,3
Anniella,6
Anolis,391
Anomalepis,4
Anomalopus,7
Anomochilus,3
Anoplohydrus,1
Anotosaura,2
Antaioserpens,1
Antaresia,4
Aparallactus,11
Apathya,2
Aphaniotis,3
Aplopeltura,1
Apostolepis,30
Aprasia,13
Aprosdoketophis,1
Archaeolacerta,1
Archaius,1
Archelaphe,1
Argyrogena,2
Argyrophis,12
Aristelliger,8
Arizona,1
Arrhyton,8
Arthrosaura,9
Asaccus,16
Aspidelaps,2
Aspidites,2
Aspidomorphus,3
Aspidoscelis,40
Aspidura,7
Aspronema,2
Asthenodipsas,5
Asymblepharus,8
Ateuchosaurus,2
Atheris,16
Atlantolacerta,1
Atractaspis,21
Atractus,135
Atretium,2
Atropoides,6
Aurivela,2
Australolacerta,1
Austrelaps,3
Azemiops,2
Bachia,23
Baikia,1
Balanophis,1
Bamanophis,1
Barisia,5
Barkudia,2
Basiliscus,4
Bassiana,3
Bavayia,12
Bellatorias,3
Bipes,3
Bitia,1
Bitis,17
Blaesodactylus,4
Blanus,7
Blythia,1
Boa,1
Boaedon,6
Bogertophis,2
Boiga,33
Boiruna,2
Bolyeria,1
Borikenophis,3
Bothriechis,10
Bothrochilus,7
Bothrocophias,6
Bothrolycus,1
Bothrophthalmus,2
Bothrops,44
Brachylophus,3
Brachymeles,36
Brachyophidium,1
Brachyophis,1
Brachyorrhos,4
Brachysaura,1
Brachyurophis,7
Bradypodion,17
Brasiliscincus,3
Broadleysaurus,1
Bronchocela,10
Brookesia,30
Brygophis,1
Bufoniceps,1
Buhoma,3
Bungarus,13
Bunopus,4
Caaeteboia,1
Cacophis,4
Cadea,2
Calabaria,1
Calamaria,61
Calamodontophis,2
Calamophis,4
Calamorhabdium,2
Caledoniscincus,14
Calliophis,10
Callisaurus,1
Callopistes,2
Calloselasma,1
Calodactylodes,2
Calotes,24
Calumma,32
Calyptommatus,4
Calyptotis,5
Candoia,5
Cantoria,1
Caparaonia,1
Capitellum,3
Caraiba,1
Carlia,43
Carphodactylus,1
Carphophis,2
Casarea,1
Cathetorhinus,1
Causus,7
Celatiscincus,2
Celestus,29
Cemophora,1
Cerastes,4
Ceratophora,5
Cerberus,5
Cercophis,1
Cercosaura,13
Cerrophidion,5
Chabanaudia,1
Chalarodon,1
Chalcides,31
Chalcidoseps,1
Chamaeleo,14
Chamaelycus,4
Chamaesaura,5
Chapinophis,1
Charina,2
Chatogekko,1
Chelosania,1
Chersodromus,2
Chilabothrus,10
Chilomeniscus,2
Chilorhinophis,2
Chionactis,3
Chioninia,8
Chirindia,5
Chironius,16
Chlamydosaurus,1
Chondrodactylus,4
Christinus,3
Chrysopelea,5
Clelia,7
Clonophis,1
Cnemaspis,108
Cnemidophorus,17
Coelognathus,7
Coeranoscincus,2
Coggeria,1
Coleodactylus,5
Coleonyx,8
Collorhabdium,1
Colobodactylus,2
Colobosaura,1
Colobosauroides,2
Coloptychon,1
Colopus,2
Coluber,17
Colubroelaps,1
Complicitus,1
Compsophis,7
Concinnia,8
Congolacerta,2
Coniophanes,17
Conolophus,3
Conophis,3
Conopsis,6
Contia,2
Contomastix,5
Copeoglossum,5
Cophosaurus,1
Cophoscincopus,4
Cophotis,2
Corallus,9
Cordylosaurus,1
Cordylus,21
Coronelaps,1
Coronella,3
Correlophus,3
Corucia,1
Coryphophylax,2
Corytophanes,3
Crenadactylus,1
Cricosaura,1
Crisantophis,1
Crocodilurus,1
Crossobamon,2
Crotalus,39
Crotaphopeltis,6
Crotaphytus,9
Cryophis,1
Cryptactites,1
Cryptagama,1
Cryptoblepharus,53
Cryptophis,5
Ctenoblepharys,1
Ctenophorus,28
Ctenosaura,15
Ctenotus,101
Cubophis,5
Cyclocorus,2
Cyclodomorphus,8
Cyclophiops,6
Cyclotyphlops,1
Cyclura,9
Cylindrophis,10
Cynisca,17
Cyrtodactylus,188
Cyrtopodion,28
