Family,species,valid_Apr2016,Phylogeny,other phylogeny,Realm,time,element,activity Season Length,"breeding age (female, months)",field body temperature,preferred body temperature,Latitude_centroid,Longitude_centroid,npp,mean annual temperature,annual precipitation ,biome,insular endemic,foraging,sub-order,infraorder,log_mass
Lacertidae,Zootoca vivipara,yes,Pyron and Burbrink 2014,"Arnold et al. 2007, Mendes et al. 2016",Palearctic,Diurnal,air,4.75,23.5,30.5,32.26375,56.60575623,69.04933699,11.1,-0.59,563.03,Boreal Forests/Taiga,no,Sit&wait,Sauria,Lacertoidea,1.02403413
Agamidae,Uromastyx acanthinura,yes,Pyron and Burbrink 2014,"Townsend et al. 2004, Schulte and Moreno-Roark 2010",Palearctic,Diurnal,air,NA,54,38,#DIV/0!,30.26325941,9.995769112,10.41,20.59,125.56,Deserts & Xeric Shrublands,no,NA,Sauria,Acrodontia,3.393396273
Lacertidae,Acanthodactylus longipes,yes,Pyron and Burbrink 2014,Harris and Arnold 2000,Palearctic,Diurnal,air,NA,NA,34.3,#DIV/0!,23.62975219,9.667295824,10.34,24.06,63.41,Deserts & Xeric Shrublands,no,NA,Sauria,Lacertoidea,0.806907315
Lacertidae,Meroles anchietae,yes,Pyron and Burbrink 2014,Edwards et al. 2013,Afrotropic,Diurnal,air,12,5,31.06666667,#DIV/0!,-22.33307877,14.48483941,10.47,18.11,73.3,Deserts & Xeric Shrublands,no,mixed,Sauria,Lacertoidea,0.592810297
Dactyloidae,Anolis wattsii,yes,Pyron and Burbrink 2014,Nicholson et al. 2005,Neotropic,Diurnal,air,12,NA,33.65,#DIV/0!,17.25860567,-62.18530476,10.84,26.16,1147.69,Deserts & Xeric Shrublands,yes,NA,Sauria,Pleurodonta,0.614005157
Lacertidae,Eremias strauchi,yes,Rastegar-Pouyani et al. 2015,Rastegar-Pouyani et al. 2012 use it as a sister of velox and say some velox populations look like strauchi; ; Rastegar-Pouyani et al. 2013 use it as a sister of suphani using Cyt B,Palearctic,Diurnal,air,7,10.5,40.3,#DIV/0!,38.01719572,51.89819761,10.91,11.36,345.02,Deserts & Xeric Shrublands,no,NA,Sauria,Lacertoidea,1.073018552
Carphodactylidae,Underwoodisaurus milii,yes,Pyron and Burbrink 2014,"Oliver and Bauer 2011, Garcia-Porta and Ord 2013",Australia,Nocturnal,air,6.5,10.5,18.5,20,-30.97273843,138.5742328,11.16,17.85,459.01,Deserts & Xeric Shrublands,no,mixed,Sauria,Gekkota,1.358396988
Diplodactylidae,Strophurus intermedius,yes,Pyron and Burbrink 2014,Garcia-Porta and Ord 2013,Australia,Nocturnal,air,NA,30,NA,20,-31.79403682,138.7961159,11.06,17.69,342.61,Deserts & Xeric Shrublands,no,NA,Sauria,Gekkota,1.012085504
Scincidae,Eremiascincus fasciolatus,yes,Pyron and Burbrink 2014,Mecke et al. 2009,Australia,Nocturnal,earth,NA,NA,28.1,22.8,-24.46321084,136.6101474,10.96,22.49,391.47,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Scincoidea,1.627856651
Scincidae,Eremiascincus richardsonii,yes,Pyron and Burbrink 2014,"Skinner et al. 2013, Rabosky et al. 2014",Australia,Nocturnal,earth,NA,22.5,26.2,25.95,-25.57014642,131.9334543,10.94,21.85,340.69,Deserts & Xeric Shrublands,no,Active,Sauria,Scincoidea,1.668182215
Carphodactylidae,Nephrurus stellatus,yes,Pyron and Burbrink 2014,"Oliver and Bauer 2011, Garcia-Porta and Ord 2013",Australia,Nocturnal,air,NA,15,NA,25.07,-31.88582641,127.2632192,11.03,17.4,305.39,Deserts & Xeric Shrublands,no,NA,Sauria,Gekkota,1.219284211
Gekkonidae,Heteronotia binoei,yes,Pyron and Burbrink 2014,Pepper et al. 2013,Australia,Nocturnal,air,NA,16.5,31.15,30,-24.87113438,134.0500998,11.03,21.92,467.91,Deserts & Xeric Shrublands,no,mixed,Sauria,Gekkota,0.563141386
Scincidae,Lerista macropisthopus,yes,Pyron and Burbrink 2014,"Skinner and Lee 2010, Rabosky et al. 2014",Australia,Nocturnal,earth,NA,NA,NA,31.3,-27.40472186,118.340152,10.91,21.12,247.84,Deserts & Xeric Shrublands,no,NA,Sauria,Scincoidea,0.735
